,Unnamed: 0,property_type,society,sector,price,Area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,features_list,luxury_score
3066,3066,house,puri diplomatic greens,sector 111,9.0,8000.0,11250.0,Built Up area: 8000 (743.22 sq.m.),5,5,3+,servant room,3.0,North-East,Relatively New,"['Dwarka Sector 21 Metro Station', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Delhi', 'Delhi Jaipur Highway', 'Red Roses Public School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'The Oberoi, Gurgaon']","['4 Light', '6 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,8000.0,,0,1,0,0,0,0,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",112
3073,3073,house,independent,sector 2,6.0,3000.0,20000.0,Built Up area: 333 (278.43 sq.m.),4,4,1,not available,2.0,,Relatively New,,,,,333.0,,0,0,0,0,0,0,[],0
3092,3092,house,independent,sector 2,5.6,3240.0,17284.0,Plot area 360(301.01 sq.m.),8,6,3+,"pooja room,study room,servant room,store room",,South-West,Moderately old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']","['1 Fan', '1 Dining Table', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,360.0,,1,1,1,1,0,0,[],0
3094,3094,flat,m3m golfestate,sector 65,6.15,3355.0,18331.0,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,not available,20.0,North-East,Undefined,"['Sector 54 Chowk Metro Station', 'Sahara Mall', 'NH 248A', 'Shiksha Bharti Public School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Holiday Inn Express Gurugram']",,"['Mini Theatre', 'Doctor on Call', 'Beach Volley Ball Court', 'Air Hockey', 'Automated Car Wash', 'Clinic', 'Foosball', 'Concierge Service', 'Car wash area']",,3355.0,2200.0,0,0,0,0,0,0,"['Mini Theatre', 'Doctor on Call', 'Beach Volley Ball Court', 'Air Hockey', 'Automated Car Wash', 'Clinic', 'Foosball', 'Concierge Service', 'Car wash area']",34
3100,3100,flat,suncity platinum towers,sector 28,7.0,3150.0,22222.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 1913 sq.ft. (177.72 sq.m.),4,3,2,servant room,10.0,North,Moderately old,"['Iffco Chowk', 'MG Road', 'Plaza Mall', 'MGF Metropolitan Mall', 'NH 48', 'Lancers International School', 'Sushant University', 'The NorthCap University', 'Umkal Hospital', 'Paras Hospitals, Gurgaon', 'Indira Gandhi Intl Airport']","['4 Fan', '8 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",3150.0,,1913.0,0,1,0,0,0,0,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",31
3102,3102,house,independent,sector 2,5.7,2518.0,22634.0,Plot area 270(225.75 sq.m.),9,9,3+,pooja room,3.0,North-East,Moderately old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']","['9 Wardrobe', '10 Fan', '9 Geyser', '30 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,270.0,,0,0,0,1,0,2,[],0
3103,3103,house,vipul tatvam villa,sector 48,5.5,2592.0,21219.0,Plot area 288(240.8 sq.m.),3,6,2,"servant room,others",2.0,North,Moderately old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '5 Light', '5 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,288.0,,0,1,0,0,1,2,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",106
3111,3111,flat,ambience lagoon,sector 24,5.8,4640.0,12500.0,Built Up area: 3700 (343.74 sq.m.),3,4,3+,"pooja room,study room,servant room,others",9.0,North-East,Old Property,"['Micromax moulsari avenue metro station', 'Indusind bank cyber city metro station', 'Dlf phase 3 metro station', 'Vodafone belvedere towers metro station', 'Shri Shiv Shakthi Mandir', 'Citibank ATM', 'Icici bank ATM', 'Abn amro bank ATM', 'Citibank ATM', 'Kotak mahindra ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Dental Harbour', 'Asha Multispeciality Clinic', 'Garg Dental Care', 'R.N Clinic', 'Shri Ram Memorial Hospital', 'Dental Cure and Care Centre', ""Dr. Khullar's Dental Clinic"", 'Darpan Skin & Mind Clinic', 'Relief Physiotherapy Clinic', 'DGD Rajokari', 'RBS Dental Clinic', 'Kailash Nursing Home Gurgaon', 'Cosmodentz Dental Clinic', 'Upkar Clinic', 'Pharmacy', 'Shri Balaji Medical Store', 'SP Infocity', 'PVR Cinames', 'State bank of india', 'Deutsche bank', 'Icici bank', 'Icici bank', 'Standard chartered bank', 'Machaan', 'barrique', 'The God Father', 'Food Court', 'Mc Donalds', ""McDonald's"", 'Cantine', 'Mukesh Dhaba']","['1 Water Purifier', '10 Fan', '1 Fridge', '1 Exhaust Fan', '5 Geyser', '1 Stove', '25 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Wardrobe', '1 Sofa', 'No Bed', 'No Dining Table', 'No Microwave', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Fitness Centre / GYM']",,3700.0,,1,1,0,1,1,1,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Fitness Centre / GYM']",68
3119,3119,house,independent,sector 43,15.5,5490.0,28233.0,Plot area 610(510.04 sq.m.),5,6,3,"pooja room,study room,servant room,store room",3.0,East,Moderately old,"['Iffco chowk metro station', 'Huda city centre metro station', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Rbs ATM', 'Icici bank ATM', 'Axis bank ATM', 'Punjab national bank ATM', 'Max Hospital', 'Sitaram Bhartia', 'Dr. Kutbuddin Akbary', 'Umkal Hospital', 'Dr. Naval Mendiratta', 'Sidhesh Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Centre For Sight Gurgaon Sector 29', 'Chikitsa', 'Guardian Pharmacy', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Naveidyam', 'Pizza Hut', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'The Chicken Boat', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Dighent cafe', 'Balaji Vegetarian Paradise', 'Fat', 'Nowhere Brewpub and cafe', 'Barbecue Grill', 'Roots', 'PWO house', 'MoB Ministory of Beer', 'Park Baluchi', 'Beer & Whisky Bar', 'Bikanervala', 'Gola Sizzles', 'The Oriental Bloom Chinese and Thai', 'Gravity Space Bar', 'Zura', 'Black Mambaa', 'Stones2milestones', 'Bahrisons library', 'Ncr library']",[],"['Private Garden / Terrace', 'Water purifier', 'False Ceiling Lighting', 'Water Storage', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",,610.0,,1,1,1,1,0,0,"['Private Garden / Terrace', 'Water purifier', 'False Ceiling Lighting', 'Water Storage', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",76
3127,3127,house,vipul tatvam villa,sector 48,8.5,3240.0,26235.0,Plot area 360(301.01 sq.m.),4,4,2,"pooja room,servant room,store room",,East,Moderately old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","['1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,360.0,,0,1,1,1,0,0,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",88
3135,3135,house,ss hibiscus,sector 50,12.5,3060.0,40850.0,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4,4,3+,"servant room,study room",2.0,West,Relatively New,"['Baani Square', 'SS Plaza', 'Good Earth City Centre', 'Nirvana Courtyard', 'Sapphire Mall', 'Gems Modern School', 'HDFC School', 'C K Birla Hospital', 'Cloudnine Hospital', 'Park Hospital', 'Artemis Hospital', 'Medanta Medicity', 'Unitech Cyber City', 'Horizon One', 'IPSA Day Care']","['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '1 Stove', '12 Light', '4 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",,410.0,340.0,1,1,0,0,0,1,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",160
3142,3142,house,independent,sector 57,6.95,1800.0,38611.0,Plot area 192(160.54 sq.m.),12,12,3+,"servant room,store room",4.0,East,New Property,"['Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'State bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Anand Hospital Gurgaon', 'Kriti Hospital', 'Surgicare Hospital Gurgaon', 'pracksht hospital', 'Vatsalya Clinic', 'Arunodaya Deseret Eye Hospital', 'Arihant Hospital', 'HUDA Office Complex', 'Wembley estate club', 'Medisca', 'Pernod Ricard Charitable Dispensary', 'Unitech', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'Hdfc bank', 'Kotak mahindra bank', 'Indusind bank', 'State bank of india', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', '222', 'Pizza Hut', 'Madison and Pike', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Gurugram University', 'IILM', 'Iilm University', 'Kamla International', 'Amity Global School', 'St. Angels Sr', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Manav Rachna Swimming Pool']","['1 Water Purifier', '1 Exhaust Fan', '1 Stove', '1 Microwave', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Waste Disposal', 'Rain Water Harvesting']",,192.0,,0,1,1,0,0,2,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Waste Disposal', 'Rain Water Harvesting']",73
3147,3147,house,international city by sobha phase 2,sector 109,9.5,3600.0,26389.0,Plot area 400(334.45 sq.m.),5,5,3+,"pooja room,study room,store room,servant room",2.0,South,Relatively New,"['Dwarka Sector 21 Metro Station', 'Pacific D21 Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station']",,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,400.0,,1,1,1,1,0,0,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",133
3148,3148,house,vipul tatvam villa,sector 48,6.4,2592.0,24691.0,Plot area 288(240.8 sq.m.)Built Up area: 240 sq.yards (200.67 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),3,4,3,"study room,servant room,store room",2.0,North,Relatively New,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","['4 Wardrobe', '6 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '12 Light', '5 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Club house / Community Center']",,240.0,200.0,1,1,1,0,0,2,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Club house / Community Center']",148
3153,3153,house,dlf city plots phase 2,sector 25,10.0,250.0,400000.0,Plot area 250(23.23 sq.m.),12,12,3+,"study room,servant room",4.0,North,Relatively New,"['Vodafone belvedere towers metro station', 'Dlf phase 2 metro station', 'Dlf phase 3 metro station', 'Indusind bank cyber city metro station', 'Sikandarpur metro station', 'Shri Shiv Shakthi Mandir', 'Jain Bhawan', 'Arya Samaj Mandir', 'Central bank atm teste 001112', 'Central bank ATM', 'Kotak mahindra ATM', 'Citibank ATM', 'Abn amro bank ATM', 'Axis bank ATM', 'Surgi Center Clinic', 'Kailash Nursing Home Gurgaon', 'RBS Dental Clinic', 'Cosmodentz Dental Clinic', 'Uma Sanjeevani Health Centre And Hospital', 'Relief Physiotherapy Clinic', 'Darpan Skin & Mind Clinic', 'Durga Poly Clinic', 'Krishna Family Clinic', 'Guardian', '98.4', 'Religare Wellness', 'Shri Balaji Medical Store', 'DLF Cyber City Phase II', 'Emaar Business Park', 'Standard chartered bank', 'Icici bank', 'Deutsche bank', 'Hsbc bank', 'Kotak mahindra bank', 'Axis bank', 'PVR Cinames', 'Mukesh Dhaba', 'Mc Donalds', ""McDonald's"", 'Food Court', 'The God Father', 'Cantine', 'barrique', 'American Montessori']","['24 Fan', '1 Exhaust Fan', '12 Geyser', '1 Stove', '80 Light', '20 AC', '4 Chimney', '1 Modular Kitchen', '12 Wardrobe', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting']",,250.0,,1,1,0,0,0,2,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting']",114
3158,3158,flat,pioneer urban presidia,sector 62,7.15,4337.0,16486.0,Super Built up area 4337(402.92 sq.m.),4,5,3+,"study room,servant room,store room",7.0,East,Relatively New,"['Airia Mall', 'Golf Course Ext Road', 'Heritage Xperiential Learning School', 'Apex Plus Hospital', 'Indira Gandhi International Airport', 'Duke Horse Riding Club', 'DoubleTree by Hilton Hotel', 'SkyJumper Trampoline Park', 'ZEN Golf Range & Academy', 'PVR Drive in Theatre', 'Surajgarh Gurgaon', 'The Banyan Tree Hiking Area']","['7 Wardrobe', '10 Fan', '6 Geyser', '1 Stove', '18 Light', '8 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",4337.0,,,1,1,1,0,0,2,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",158
3169,3169,house,suncity essel towers,sector 28,8.95,5000.0,17900.0,Plot area 5000(464.52 sq.m.),5,6,3+,not available,4.0,,Moderately old,"['Iffco chowk metro station', 'Mg road metro station', 'Arya Samaj Mandir', 'Jain Bhawan', 'Punjab national bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Standard chartered ATM', 'Privat Hospital', 'Umkal Hospital', 'Sidhesh Hospital Gurgaon', 'Thukral Hospital', 'Lord Krishna Hospital', 'Community Center Sukhrali', 'Religare Wellness', 'Neelkanth Medico', '98.4', 'DT Cinemas', 'DT Cinemas', 'PVR Metropolitan', 'PVR Cinames', 'PVR Cinames', 'Indusind bank', 'Abn amro bank', 'Lord krishna bank', 'Hdfc bank', 'Kotak mahindra bank', 'Hsbc bank', 'Axis bank', 'Barbecue Grill', 'Pan Bangkok', 'NutrioBox Gurugram', 'Pizza Hut', 'Roots', 'CCD', 'Belgian Waffle', 'Drunken Monkey', 'Park Baluchi', 'Gravity Space Bar', 'Bikanervala', 'Black Mambaa', 'MoB Ministory of Beer', 'Dighent cafe', 'KFC', 'distillery', 'Starbucks', 'Blue Tokai Coffee Roasters', 'American Montessori']",,,,5000.0,,0,0,0,0,0,0,[],0
